"chr.rc" "strand.rc" "startSD" "endSD" "readCount.posStrand" "intronStarts" "intronEnds" "confidenceType" "readCount" "GENEID" "geneReadProp" "geneReadCount" "novel" "numExons" "equal" "compatible" "numAstart" "numAend" "numTstart" "numTend" "geneScore" "geneFDR" "txScore" "txFDR"
"9" "-" NA NA 0 "121574" "121960" "highConfidenceJunctionReads" 2 "ENSG00000172785" 0.0285714285714286 70 FALSE 2 FALSE 13 1 2 4 5 1 1 1 1
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,152079,154796,156528,162470,164038,172173" "121960,123216,123385,134978,152033,154708,156480,162431,163977,172080,173269" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 12 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091" "121960,123216" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 3 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,162470,164038" "121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 12 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,162470,164038,172173" "121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269" "highConfidenceJunctionReads" 4 "ENSG00000172785" 0.0571428571428571 70 FALSE 13 FALSE 3 3 3 1 4 1 1 1 1
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,164038,172173,173367,175785" "121960,123216,123385,134978,146101,152033,154708,156480,163962,172080,173269,175697,178815" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 14 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,162470,164038,172173,173367,175785,177821" "121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269,175697,177722,178815" "highConfidenceJunctionReads" 2 "ENSG00000172785" 0.0285714285714286 70 FALSE 16 TRUE 1 0 3 2 4 1 1 1 1
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,152079,154796,162470,164038,172173,173367,175785" "121960,123216,123385,134978,152033,154708,162409,163977,172080,173269,175697,178815" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 13 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135041" "121960,123216,123385,134978,178815" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 6 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,162470" "121960,123216,123385,134978,146101,152033,154708,156480,162431,163977" "highConfidenceJunctionReads" 2 "ENSG00000172785" 0.0285714285714286 70 FALSE 11 FALSE 3 1 4 2 3 1 1 1 1
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156528,162470,164038,172173,173367,175785" "121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269,175697,178815" "highConfidenceJunctionReads" 22 "ENSG00000172785" 0.314285714285714 70 FALSE 15 TRUE 2 0 2 1 5 1 1 1 1
"9" "-" NA NA 0 "121574,122091,123283" "121960,123216,123385" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455" "121960,123216,123385,134978" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 5 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,152079,154796,156518,164038,172173,173367,175785" "121960,123216,123385,134978,146101,152033,154708,156480,163962,172080,173269,175697,178815" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 14 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,152079,154796,156557,164038,172173,173367,175785" "121960,123216,123385,134978,152033,154708,156480,163973,172080,173269,175697,178815" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 13 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123255,152079,154796,156528,162470" "121960,123216,152033,154708,156480,162431,163977" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 8 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,146159,151428,152079,154796,156528,162470" "121960,123216,123385,134978,146101,151304,152033,154708,156480,162431,163977" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 12 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,152079,154796,156528,162470,164038,172173,173367,175785,177821" "121960,123216,123385,134978,152033,154708,156480,162431,163977,172080,173269,175697,177722,178815" "highConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 15 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "121574,122091,123283,123455,135031,154796,156528,162470" "121960,123216,123385,134978,154708,156480,162431,163977" "lowConfidenceJunctionReads" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 9 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "173367,175785,177821" "175697,177722,178815" "highConfidenceJunctionReads" 8 "ENSG00000172785" 0.114285714285714 70 FALSE 4 TRUE 5 0 5 2 3 1 1 1 1
"9" "-" NA NA 0 "173367,175785" "175697,178815" "highConfidenceJunctionReads" 13 "ENSG00000172785" 0.185714285714286 70 FALSE 3 TRUE 9 0 3 1 4 1 1 1 1
"9" "+" NA NA 1 "470375,470683,471587,473274" "470555,471445,473193,475211" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 5 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "471587,473274" "473193,475211" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 3 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "504755,539765,540668" "539515,540507,549189" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "504755,539634,540668" "539515,540507,549106" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "504717,713465,730249,731267,732432" "711491,730050,731157,732377,745442" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 6 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "504755,539765,540668" "539676,540507,549189" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "506517,508828,539765,540668" "508788,539676,540507,549189" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 5 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "506341,539634,540668" "539515,540507,593608" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "524007,539634,540668" "539515,540507,549189" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "524007,539765,540668" "539676,540507,549189" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "524007,677010,713465,730249,731267,732618,734836,738505,740935,742406,744590" "676889,710803,730050,731157,732377,734747,738284,740791,742204,744490,745172" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 12 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "539634,540668,549290" "540507,549189,587014" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 2 "539634,540672" "540507,593608" "lowConfidenceJunctionReads" 2 "ENSG00000107104" 0.0454545454545455 44 FALSE 3 FALSE 0 2 3 2 4 1 1 1 1
"9" "+" NA NA 2 "539765,540668" "540507,549189" "highConfidenceJunctionReads" 2 "ENSG00000107104" 0.0454545454545455 44 FALSE 3 FALSE 0 4 2 2 3 1 1 1 1
"9" "+" NA NA 3 "540668" "549189" "highConfidenceJunctionReads" 3 "ENSG00000107104" 0.0681818181818182 44 FALSE 2 FALSE 0 1 3 4 2 1 1 1 1
"9" "+" NA NA 1 "540672" "593608" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 2 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "540668" "549106" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 2 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "677010,713465,730249,731267,732618,734836,738505,740935,744590" "710803,730050,731157,732377,734747,738284,740791,744490,745172" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 10 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 3 "713465,730249,731267,732618,734836,738505,740935,742406,744590" "730050,731157,732377,734747,738284,740791,742204,744490,745172" "highConfidenceJunctionReads" 3 "ENSG00000107104" 0.0681818181818182 44 FALSE 10 FALSE 4 5 3 0 3 1 1 1 1
"9" "+" NA NA 1 "713465,730195,731267,732623,738505,740935,742406,744590" "730050,731157,732377,738238,740791,742204,744490,745172" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 9 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "713465,730249,731267" "730050,731157,732377" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "713465,730195,731267,732618,734836,738505,740935,742406,744590" "730050,731157,732377,734747,738284,740791,742204,744490,745172" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 10 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "713465" "730050" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 2 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 3 "732618,734836,738505,740935,742406,744590" "734747,738284,740791,742204,744490,745172" "highConfidenceJunctionReads" 3 "ENSG00000107104" 0.0681818181818182 44 FALSE 7 FALSE 4 4 3 3 3 1 1 1 1
"9" "+" NA NA 1 "736558,738505,740935,742406" "738284,740791,742204,744490" "lowConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 5 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 2 "738505,740935,742406,744590" "740791,742204,744490,745172" "highConfidenceJunctionReads" 2 "ENSG00000107104" 0.0454545454545455 44 FALSE 5 FALSE 6 0 3 5 3 1 1 1 1
"9" "+" NA NA 1 "740935,742406" "742204,744490" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 3 NA NA NA NA NA NA NA NA NA NA
"9" "+" NA NA 1 "742406,744590" "744490,745172" "highConfidenceJunctionReads" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 3 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 0 NA NA "unsplicedWithin" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 0 NA NA "unsplicedWithin" 1 "ENSG00000170122" 1 1 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 0 NA NA "unsplicedWithin" 1 "ENSG00000172785" 0.0142857142857143 70 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" 1.4142135623731 6.36396103067893 0 NA NA "unsplicedWithin" 2 "ENSG00000172785" 0.0285714285714286 70 FALSE 1 FALSE 14 4 2 3 2 1 1 1 1
"9" "*" NA NA 1 NA NA "unsplicedWithin" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 1 NA NA "unsplicedWithin" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 1 NA NA "unsplicedWithin" 1 "ENSG00000107104" 0.0227272727272727 44 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" 233.574220894915 2.5 4 NA NA "unsplicedWithin" 4 "ENSG00000107104" 0.0909090909090909 44 FALSE 1 FALSE 0 2 3 1 3 1 1 1 1
"9" "*" NA NA 0 NA NA "unsplicedNew" 1 "gene.1" 1 1 TRUE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 0 NA NA "unsplicedNew" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 1 NA NA NA NA NA NA NA NA NA NA
"9" "*" NA NA 1 NA NA "unsplicedNew" 1 "gene.2" 1 1 TRUE 1 NA NA NA NA NA NA NA NA NA NA
